date,net_position
2025-09-26,-2467
2025-09-29,-2921
2025-09-30,-2765
2025-10-09,-3385
2025-10-10,-3853
2025-10-13,-3802
2025-10-14,-3835
2025-10-15,-3789
2025-10-16,-4042
2025-10-17,-3961
2025-10-20,-4928
2025-10-21,-5374
2025-10-23,-5922
2025-10-24,-5948
2025-10-27,-6299
2025-10-28,-6446
2025-10-29,-6276
2025-10-30,-6432
2025-10-31,-6526
2025-11-03,-6390
2025-11-04,-6382
2025-11-05,-6632
2025-11-06,-6774
2025-11-10,-6988
2025-11-11,-7325
2025-11-12,-7523
2025-11-13,-6816
2025-11-14,-7392
2025-11-17,-7453
2025-11-18,-7231
2025-11-19,-7198
2025-11-20,-7174
2025-11-21,-7079
2025-11-24,-6226
2025-11-25,-6694
2025-11-26,-7177
2025-11-27,-7894
2025-11-28,-8030
2025-12-01,-7960
2025-12-02,-7829
2025-12-03,-7953
2025-12-04,-7706
2025-12-05,-7706
2025-12-08,-7825
2025-12-09,-8067
2025-12-10,-7960
2025-12-11,-8026
2025-12-12,-8199
2025-12-15,-8216
2025-12-16,-8325
2025-12-18,-8781
2025-12-19,-9113
2025-12-22,-9185
2025-12-23,-9272
2025-12-24,-9544
2025-12-25,-10418
2025-12-26,-10596
2025-12-29,-10777
2025-12-30,-10810
2025-12-31,-11211
2026-01-05,-10835
2026-01-06,-10890
2026-01-07,-11490
2026-01-08,-11795
2026-01-09,-11925
2026-01-12,-11798
2026-01-13,-11817
2026-01-14,-12074
2026-01-15,-12292
2026-01-16,-12133
2026-01-19,-11839
2026-01-20,-11397
2026-01-21,-11216
2026-01-22,-11201
2026-01-23,-11811
2026-01-26,-11879
2026-01-29,-12094
2026-01-30,-11950
2026-02-02,-11607
2026-02-04,-11622
2026-02-05,-11754
2026-02-06,-12014
2026-02-09,-11824
2026-02-10,-11805
2026-02-11,-11565
2026-02-12,-11615
2026-02-13,-11570
2026-02-24,-11252
2026-02-25,-11674
2026-02-26,-11596
2026-02-27,-11715
2026-03-02,-11540
2026-03-03,-11083
2026-03-04,-10977
2026-03-05,-11588
2026-03-06,-12294
2026-03-09,-12276
2026-03-11,-13074
2026-03-16,-14303
2026-03-17,-15086
2026-03-18,-14590
2026-03-19,-14162
2026-03-20,-14401
2026-03-23,-13412
2026-03-24,-13288
2026-03-25,-13619
2026-03-26,-13769
2026-03-27,-14726
2026-03-30,-14724
2026-03-31,-15663
2026-04-02,-15261
2026-04-03,-14646
2026-04-07,-13844
2026-04-08,-13698
2026-04-09,-14519
2026-04-10,-15297
2026-04-13,-14197
2026-04-14,-14239
2026-04-15,-15913
2026-04-16,-18894
2026-04-17,-14643
2026-04-20,-15826
2026-04-21,-13626
2026-04-23,-15911
2026-04-24,-14273
2026-04-27,-10248
2026-04-28,-11510
2026-04-29,-10709
2026-04-30,-8484
2026-05-06,-8329
2026-05-07,-10538
2026-05-08,-9634
2026-05-11,-9744
2026-05-12,-10498
2026-05-13,-8674
2026-05-14,-8419
2026-05-18,-6841
2026-05-19,-7969
2026-05-20,-7469
2026-05-21,-7103
2026-05-22,-8659
2026-05-25,-9211
2026-05-26,-9158
2026-05-27,-4497
2026-05-28,-5681
2026-05-29,-3593
2026-06-01,-3540
2026-06-02,-3409
2026-06-03,-6229
2026-06-04,-4887
2026-06-08,-4950
2026-06-09,-6986
2026-06-10,-6133
2026-06-11,-6628
2026-06-12,-6903
2026-06-15,-6807
2026-06-16,-6626
2026-06-17,-6205
2026-06-18,-5343
2026-06-22,-4634
2026-06-23,-3863
