date,net_position
2021-07-01,-4257
2021-07-02,-4251
2021-07-05,-4465
2021-07-06,-4396
2021-07-07,-4381
2021-07-08,-4826
2021-07-09,-5031
2021-07-12,-5273
2021-07-13,-4500
2021-07-14,-4582
2021-07-15,-4276
2021-07-16,-4890
2021-07-19,-4932
2021-07-20,-4687
2021-07-21,-4819
2021-07-22,-4865
2021-07-23,-4547
2021-07-26,-4920
2021-07-27,-4468
2021-07-28,-4317
2021-07-29,-4669
2021-07-30,-4576
2021-08-02,-4136
2021-08-03,-3812
2021-08-04,-2846
2021-08-05,-2547
2021-08-06,-2880
2021-08-09,-3059
2021-08-10,-2341
2021-08-11,-2277
2021-08-12,-1740
2021-08-13,-1675
2021-08-16,-1509
2021-08-17,-1363
2021-08-18,-1304
2021-08-19,-1012
2021-08-20,-1097
