company,long,long_chg,short,short_chg,volume,volume_chg
中信期货（代客）,4576,54,3984,16,4320,293
国泰君安（代客）,3420,48,6171,434,4680,-873
东证期货（代客）,2951,538,4128,144,5614,616
银河期货（代客）,2625,160,1680,36,2406,232
广发期货（代客）,2516,-114,1325,85,1271,-389
东方财富（代客）,2365,273,0,0,1651,-50
华泰期货（代客）,1950,-11,2318,103,958,-626
永安期货（代客）,1840,210,3449,99,809,302
中泰期货（代客）,1822,-54,2771,222,2544,662
徽商期货（代客）,1808,139,0,0,1251,-106
方正中期（代客）,1796,150,1504,171,1643,-56
海通期货（代客）,1504,-242,0,0,2089,-29
光大期货（代客）,1499,142,1180,141,1555,-95
平安期货（代客）,1465,141,0,0,0,0
国海良时（代客）,1355,-14,0,0,0,0
国元期货（代客）,1325,181,0,0,717,163
南华期货（代客）,1316,148,1823,9,0,0
中信建投（代客）,1279,-86,1634,-360,1758,-129
国信期货（代客）,998,23,0,0,0,0
中粮期货（代客）,923,88,3558,22,0,0
东吴期货（代客）,0,0,1104,-68,0,0
中原期货（代客）,0,0,1282,-13,0,0
五矿期货（代客）,0,0,1192,-51,0,0
宝城期货（代客）,0,0,0,0,688,151
国富期货（代客）,0,0,1326,141,844,255
格林大华（代客）,0,0,2708,238,721,154
瑞达期货（代客）,0,0,1218,92,0,0
申银万国（代客）,0,0,0,0,812,55
长江期货（代客）,0,0,0,0,799,38
首创京都（代客）,0,0,1609,4,0,0
