date,net_position
2024-08-15,-1241
2024-08-16,-1271
2024-08-19,-1254
2024-08-20,-1308
2024-08-21,-1519
2024-08-22,-1416
2024-08-27,-1530
2024-08-28,-1494
2024-08-29,-1525
2024-08-30,-1390
2024-09-02,-1473
2024-09-03,-1459
2024-09-04,-1886
2024-09-05,-1578
2024-09-06,-1483
2024-09-09,-1721
2024-09-10,-1685
2024-09-11,-1802
2024-09-12,-1914
2024-09-13,-2083
2024-09-18,-2274
2024-09-19,-2245
2024-09-20,-2262
2024-09-24,-2646
2024-09-25,-2742
2024-09-26,-2511
2024-09-27,-2337
2024-09-30,-2438
2024-10-08,-2491
2024-10-09,-2750
2024-10-10,-2877
2024-10-11,-2776
2024-10-14,-2814
2024-10-15,-3113
2024-10-16,-3108
2024-10-17,-2942
2024-10-18,-2771
2024-10-21,-2649
2024-10-22,-2607
2024-10-23,-1909
2024-10-24,-1950
2024-10-25,-1749
2024-10-28,-1722
2024-10-29,-1577
2024-10-30,-1830
2024-10-31,-1837
2024-11-01,-1571
2024-11-04,-2145
2024-11-05,-2418
2024-11-06,-2249
2024-11-07,-1906
2024-11-08,-2419
2024-11-11,-2191
2024-11-12,-2142
2024-11-13,-1902
2024-11-14,-1852
2024-11-15,-1791
2024-11-18,-1865
2024-11-19,-1827
2024-11-20,-2013
2024-11-21,-2180
2024-11-22,-2148
2024-11-25,-1984
2024-11-26,-2562
2024-11-27,-2711
2024-11-28,-2802
2024-11-29,-2362
2024-12-02,-2538
2024-12-03,-3270
2024-12-04,-2092
2024-12-05,-1557
2024-12-06,-1675
2024-12-09,-1887
2024-12-10,-3233
2024-12-11,-3169
2024-12-12,-3144
2024-12-13,-2533
2024-12-16,-1569
2024-12-17,-1729
2024-12-18,-2017
2024-12-19,-2440
2024-12-20,-2834
2024-12-23,-2176
2024-12-24,-1979
2024-12-25,-1181
2024-12-26,-1065
2024-12-27,161
2024-12-30,247
2024-12-31,-82
2025-01-02,726
2025-01-03,576
2025-01-06,-103
2025-01-07,-323
2025-01-08,-427
2025-01-09,-38
2025-01-10,1230
2025-01-13,1277
2025-01-14,562
2025-01-15,617
2025-01-16,521
2025-01-17,-4
2025-01-20,52
2025-01-21,-373
2025-01-22,-861
2025-01-23,-877
2025-01-24,-923
2025-01-27,-1020
2025-02-05,-2622
2025-02-06,-3339
2025-02-07,-3983
2025-02-10,-3311
2025-02-11,-3059
2025-02-12,-2628
2025-02-13,-2453
