date,net_position
2022-06-10,-6238
2022-06-13,-6559
2022-06-14,-6624
2022-06-15,-6592
2022-06-16,-6765
2022-06-17,-6847
2022-06-20,-6948
2022-06-21,-7061
2022-06-22,-6886
2022-06-23,-6961
2022-06-24,-7058
2022-06-27,-7248
2022-06-28,-7512
2022-06-29,-7600
2022-06-30,-7500
2022-07-01,-7704
2022-07-04,-7764
2022-07-05,-7492
2022-07-06,-7732
2022-07-07,-8600
2022-07-08,-8022
2022-07-11,-8476
2022-07-12,-8209
2022-07-13,-8086
2022-07-14,-8032
2022-07-15,-7748
2022-07-18,-7693
2022-07-19,-7850
2022-07-20,-7688
2022-07-21,-7932
2022-07-22,-8044
2022-07-25,-7852
2022-07-26,-7589
2022-07-27,-7720
2022-07-28,-6941
2022-07-29,-6936
2022-08-01,-6533
2022-08-02,-6488
2022-08-03,-6743
2022-08-04,-6663
2022-08-05,-6985
2022-08-08,-7465
2022-08-09,-7561
2022-08-10,-7395
2022-08-11,-7388
2022-08-12,-7540
2022-08-15,-7632
2022-08-16,-7981
2022-08-17,-8170
2022-08-18,-7767
2022-08-19,-7945
2022-08-22,-7629
2022-08-23,-8333
2022-08-24,-8421
2022-08-25,-8690
2022-08-26,-8851
2022-08-29,-8174
2022-08-30,-7574
2022-08-31,-6322
2022-09-01,-4941
2022-09-02,-4267
2022-09-05,-4382
2022-09-06,-4234
2022-09-07,-5111
2022-09-08,-5432
2022-09-09,-4885
2022-09-13,-5509
2022-09-14,-5452
2022-09-15,-5754
2022-09-16,-5376
2022-09-19,-5281
2022-09-20,-5199
2022-09-21,-4881
2022-09-22,-3619
2022-09-23,-3838
2022-09-26,-3072
2022-09-27,-3170
2022-09-28,-3456
2022-09-29,-3340
2022-09-30,-3265
2022-10-10,-3603
2022-10-11,-3650
2022-10-12,-3567
2022-10-13,-3217
2022-10-14,-3292
2022-10-17,-3993
2022-10-18,-4147
2022-10-19,-3910
2022-10-20,-4340
2022-10-21,-4564
2022-10-24,-3635
2022-10-25,-2109
2022-10-26,-1870
2022-10-27,-1771
2022-10-28,-2591
2022-10-31,-2002
2022-11-01,-2178
2022-11-02,-1384
2022-11-03,-960
2022-11-04,-1365
2022-11-07,-1829
2022-11-08,-1245
2022-11-09,-1017
2022-11-10,-668
2022-11-11,-632
2022-11-14,-781
2022-11-15,-1544
2022-11-16,-1496
2022-11-17,-1794
2022-11-18,-2159
2022-11-21,-2341
2022-11-22,-2149
2022-11-23,-2137
2022-11-24,-2969
2022-11-25,-3801
2022-11-28,-3964
2022-11-29,-4033
2022-11-30,-3339
2022-12-01,-3467
2022-12-02,-3739
2022-12-05,-3866
2022-12-06,-3949
2022-12-07,-2878
2022-12-08,-2995
2022-12-09,-3142
2022-12-12,-3179
