company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,9326,-183,9747,-170,13771,-8257
国泰君安,8729,-120,16152,137,8619,-3970
东证期货,6934,-893,8838,687,9782,-5198
中信建投,6520,302,4103,-62,4658,-4079
银河期货,5225,-107,5641,304,4369,-2502
广发期货,4515,101,2466,229,3210,-1189
方正中期,4164,112,0,0,2862,-1676
东方财富,3925,306,0,0,1902,-1187
华泰期货,3632,-131,4556,-32,1633,-1385
中泰期货,3600,-330,4342,-320,3510,-2068
永安期货,3430,103,6911,-46,0,0
徽商期货,3426,60,0,0,0,0
光大期货,3304,-267,1977,-334,3273,-294
海通期货,3188,-141,2242,-269,3352,-1990
申银万国,2549,18,0,0,0,0
招商期货,2511,-213,2715,-212,1699,-1848
中粮期货,2461,151,2994,12,0,0
平安期货,2430,-206,0,0,1183,-846
国投期货,2428,72,4684,56,1180,-976
宏源期货,2234,122,0,0,0,0
东吴期货,0,0,3027,241,1632,-1163
国信期货,0,0,0,0,1232,-505
南华期货,0,0,3493,128,6835,-3422
创元期货,0,0,2608,242,0,0
中州期货,0,0,3298,20,0,0
国联期货,0,0,0,0,1191,-658
格林大华,0,0,5185,-49,0,0
长江期货,0,0,0,0,1310,-726
首创京都,0,0,1904,-315,0,0
