company,long,long_chg,short,short_chg,volume,volume_chg
国泰期货,1285,12,905,18,166,-129
广发期货,956,36,0,0,135,-27
华泰期货,862,8,589,42,148,-147
申银万国期货,750,12,0,0,0,0
南华期货,745,25,580,-60,0,0
银河期货,726,18,0,0,187,-26
中信期货,665,-55,2435,-71,674,-636
浙商期货,578,-5,0,0,0,0
国投安信期货,504,24,2241,4,0,0
永安期货,485,107,979,107,252,-36
光大期货,440,-42,0,0,476,-289
大越期货,428,3,0,0,0,0
方正中期期货,406,-7,0,0,190,-12
中信建投期货,395,26,362,-50,250,-66
中辉期货,373,-18,0,0,265,-38
中财期货,341,-42,259,25,0,0
瑞达期货,330,20,0,0,0,0
东证期货,322,19,0,0,164,-95
徽商期货,317,11,0,0,0,0
格林期货,314,9,1666,238,277,219
东方财富期货,0,0,209,-15,164,-17
一德期货,0,0,196,5,0,0
东吴期货,0,0,0,0,214,-1
中钢期货,0,0,261,11,0,0
中粮期货,0,0,3630,-155,192,40
华融融达期货,0,0,324,-3,0,0
五矿期货,0,0,251,56,0,0
华闻期货,0,0,0,0,280,-241
华西期货,0,0,0,0,311,287
国金期货,0,0,248,2,0,0
宏源期货,0,0,452,197,287,60
海通期货,0,0,0,0,369,-109
盛达期货,0,0,212,10,0,0
美尔雅期货,0,0,483,252,457,181
西部期货,0,0,406,-4,0,0
