date,net_position
2024-02-22,-6714
2024-02-23,-6885
2024-02-26,-7193
2024-02-27,-7492
2024-02-28,-7886
2024-02-29,-8023
2024-03-01,-8017
2024-03-04,-8535
2024-03-05,-8435
2024-03-06,-8021
2024-03-07,-8042
2024-03-08,-7909
2024-03-11,-7901
2024-03-12,-7907
2024-03-13,-8575
2024-03-14,-8811
2024-03-15,-9124
2024-03-18,-9183
2024-03-19,-9721
2024-03-20,-9665
2024-03-21,-9349
2024-03-22,-9262
2024-03-25,-8867
2024-03-26,-8807
2024-03-27,-8194
2024-03-28,-7733
2024-03-29,-8521
2024-04-01,-8073
2024-04-02,-8145
2024-04-03,-8732
2024-04-08,-7925
2024-04-09,-7787
2024-04-10,-9004
2024-04-11,-8800
2024-04-12,-8163
2024-04-15,-8297
2024-04-16,-9194
2024-04-17,-8253
2024-04-18,-8752
2024-04-19,-9113
2024-04-22,-9531
2024-04-23,-8586
2024-04-24,-9326
2024-04-25,-8207
2024-04-26,-7943
2024-04-29,-7250
2024-04-30,-6587
2024-05-06,-5714
2024-05-07,-6303
2024-05-08,-5409
2024-05-09,-5127
2024-05-10,-3877
2024-05-13,-4557
2024-05-14,-4992
2024-05-15,-5587
2024-05-16,-5015
2024-05-17,-4790
2024-05-20,-5546
2024-05-21,-5091
2024-05-22,-3971
2024-05-23,-4641
2024-05-24,-3426
2024-05-27,-4326
2024-05-28,-4481
2024-05-29,-3849
2024-05-30,-3416
2024-05-31,-3477
2024-06-03,-3813
2024-06-04,-4581
2024-06-05,-4774
2024-06-06,-5266
2024-06-07,-4312
2024-06-11,-3363
2024-06-12,-3883
2024-06-13,-3483
2024-06-14,-2487
2024-06-17,-1607
2024-06-18,-1644
2024-06-19,-2596
2024-06-20,-2510
2024-06-21,-2326
2024-06-24,-1549
2024-06-25,-1359
2024-06-26,-311
2024-06-27,-956
2024-06-28,-831
2024-07-01,229
2024-07-02,-655
2024-07-03,-366
2024-07-04,166
2024-07-05,755
2024-07-08,-685
2024-07-09,-649
2024-07-10,-1385
2024-07-11,-358
2024-07-12,189
2024-07-15,-646
2024-07-16,-1496
2024-07-17,-1313
2024-07-18,-1085
2024-07-19,-552
2024-07-22,-448
2024-07-23,-1982
2024-07-24,-1678
2024-07-25,-1516
2024-07-26,-1869
2024-07-29,-1617
2024-07-30,-2661
2024-07-31,-3077
2024-08-01,-3729
2024-08-02,-4220
2024-08-05,-4737
2024-08-06,-4441
2024-08-07,-4108
2024-08-08,-3789
2024-08-09,-3556
2024-08-12,-2631
2024-08-13,-2339
2024-08-14,-2025
