company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安（代客）,2174,13,2856,-23,692,-352
中信期货（代客）,1942,42,1515,56,614,-453
中信建投（代客）,1308,234,1433,73,419,160
南华期货（代客）,1286,8,2023,-4,216,-622
方正中期（代客）,1181,69,889,45,262,-45
海通期货（代客）,1168,10,1063,0,140,-186
长江期货（代客）,785,23,556,-3,274,11
广发期货（代客）,773,2,469,10,0,0
招商期货（代客）,653,1,968,7,278,-45
五矿期货（代客）,613,3,924,33,254,19
中泰期货（代客）,601,-7,0,0,0,0
国元期货（代客）,599,4,0,0,0,0
国投安信（代客）,546,91,0,0,0,0
宝城期货（代客）,542,6,0,0,0,0
平安期货（代客）,537,3,0,0,0,0
华泰期货（代客）,526,-31,628,-41,278,-60
国海良时（代客）,518,0,0,0,0,0
物产中大（代客）,447,5,0,0,110,-43
东方财富（代客）,434,14,0,0,0,0
银河期货（代客）,423,-483,798,510,1065,1019
东吴期货（代客）,0,0,730,0,144,65
和合期货（代客）,0,0,0,0,196,137
东证期货（代客）,0,0,516,-81,1070,4
中州期货（代客）,0,0,602,5,0,0
兴证期货（代客）,0,0,0,0,158,-70
正信期货（代客）,0,0,0,0,197,196
大地期货（代客）,0,0,0,0,114,102
格林大华（代客）,0,0,826,-2,0,0
永安期货（代客）,0,0,1109,-105,131,-25
江西瑞奇（代客）,0,0,412,0,0,0
瑞达期货（代客）,0,0,454,10,0,0
首创京都（代客）,0,0,931,209,919,900
