date,open,high,low,close,volume,hold,settle
2025-09-26,14200.0,14380.0,14080.0,14095.0,4802,3503.0,14220.0
2025-09-29,14000.0,14045.0,13885.0,14000.0,2799,4684.0,13980.0
2025-09-30,13920.0,14060.0,13920.0,14030.0,1420,5581.0,13995.0
2025-10-09,13800.0,13930.0,13765.0,13865.0,3078,6489.0,13850.0
2025-10-10,13875.0,13945.0,13800.0,13925.0,2701,7296.0,13895.0
2025-10-13,13885.0,13920.0,13840.0,13875.0,1891,7639.0,13880.0
2025-10-14,13885.0,13995.0,13840.0,13960.0,2473,8107.0,13945.0
2025-10-15,13920.0,14000.0,13880.0,13925.0,1462,8506.0,13925.0
2025-10-16,13900.0,13900.0,13735.0,13755.0,3523,10258.0,13805.0
2025-10-17,13740.0,13740.0,13490.0,13515.0,4109,11875.0,13580.0
2025-10-20,13520.0,13800.0,13520.0,13680.0,4060,12328.0,13660.0
2025-10-21,13650.0,13730.0,13520.0,13695.0,2119,12595.0,13635.0
2025-10-22,13675.0,13750.0,13580.0,13595.0,1891,12652.0,13650.0
2025-10-23,13605.0,13650.0,13470.0,13520.0,1993,13036.0,13590.0
2025-10-24,13490.0,13490.0,13160.0,13310.0,5288,13331.0,13280.0
2025-10-27,13335.0,13410.0,13265.0,13300.0,2474,13673.0,13300.0
2025-10-28,13295.0,13345.0,13205.0,13225.0,1805,13461.0,13260.0
2025-10-29,13115.0,13230.0,13115.0,13190.0,1124,13698.0,13175.0
2025-10-30,13200.0,13280.0,13175.0,13245.0,3378,14436.0,13230.0
2025-10-31,13250.0,13275.0,13105.0,13175.0,3456,15697.0,13160.0
2025-11-03,13140.0,13170.0,13025.0,13135.0,2542,16167.0,13110.0
2025-11-04,13120.0,13480.0,13085.0,13255.0,8932,17802.0,13295.0
2025-11-05,13245.0,13470.0,13225.0,13440.0,5875,19477.0,13395.0
2025-11-06,13405.0,13455.0,13380.0,13450.0,1972,19835.0,13425.0
2025-11-07,13460.0,13475.0,13335.0,13430.0,2392,20160.0,13400.0
2025-11-10,13430.0,13535.0,13410.0,13465.0,2521,20316.0,13470.0
2025-11-11,13470.0,13645.0,13420.0,13525.0,5974,21660.0,13530.0
2025-11-12,13490.0,13720.0,13470.0,13680.0,7157,22763.0,13650.0
2025-11-13,13600.0,13805.0,13600.0,13790.0,5708,23020.0,13735.0
2025-11-14,13790.0,13790.0,13610.0,13655.0,5132,22371.0,13665.0
2025-11-17,13615.0,13695.0,13545.0,13645.0,3969,22678.0,13615.0
2025-11-18,13615.0,13685.0,13510.0,13560.0,3980,23037.0,13575.0
2025-11-19,13560.0,13625.0,13485.0,13510.0,3107,23118.0,13545.0
2025-11-20,13500.0,13515.0,13410.0,13440.0,3132,23276.0,13450.0
2025-11-21,13420.0,13450.0,13350.0,13350.0,2989,23445.0,13390.0
2025-11-24,13610.0,13815.0,13550.0,13625.0,11551,24736.0,13650.0
2025-11-25,13615.0,13720.0,13590.0,13715.0,4364,26205.0,13665.0
2025-11-26,13700.0,13745.0,13555.0,13640.0,7648,26735.0,13625.0
2025-11-27,13625.0,13640.0,13500.0,13525.0,3717,26898.0,13565.0
2025-11-28,13500.0,13535.0,13435.0,13510.0,3138,26740.0,13480.0
2025-12-01,13510.0,13615.0,13510.0,13615.0,3921,26610.0,13565.0
2025-12-02,13615.0,13720.0,13580.0,13600.0,5021,27812.0,13635.0
2025-12-03,13605.0,13640.0,13565.0,13575.0,2663,27776.0,13590.0
2025-12-04,13595.0,13610.0,13485.0,13525.0,2251,27847.0,13545.0
2025-12-05,13545.0,13580.0,13490.0,13515.0,2969,27950.0,13525.0
2025-12-08,13515.0,13685.0,13485.0,13650.0,6306,28669.0,13590.0
2025-12-09,13640.0,13665.0,13550.0,13600.0,4375,28792.0,13605.0
2025-12-10,13600.0,13605.0,13465.0,13495.0,2910,29129.0,13515.0
2025-12-11,13515.0,13535.0,13415.0,13435.0,4119,29063.0,13455.0
2025-12-12,13460.0,13510.0,13380.0,13495.0,3204,29061.0,13455.0
2025-12-15,13505.0,13535.0,13440.0,13465.0,2474,29018.0,13490.0
2025-12-16,13465.0,13495.0,13410.0,13490.0,2065,29074.0,13445.0
2025-12-17,13500.0,13565.0,13450.0,13485.0,3143,29044.0,13505.0
2025-12-18,13480.0,13480.0,13400.0,13410.0,2170,29292.0,13430.0
2025-12-19,13405.0,13510.0,13365.0,13510.0,3475,29376.0,13425.0
2025-12-22,13510.0,13545.0,13440.0,13465.0,3153,29390.0,13495.0
2025-12-23,13465.0,13535.0,13440.0,13525.0,2453,29198.0,13490.0
2025-12-24,13500.0,13650.0,13495.0,13590.0,4267,29781.0,13570.0
2025-12-25,13600.0,13615.0,13520.0,13555.0,2541,29897.0,13570.0
2025-12-26,13610.0,13675.0,13545.0,13665.0,4953,30752.0,13620.0
2025-12-29,13720.0,13795.0,13610.0,13660.0,6914,31356.0,13685.0
2025-12-30,13680.0,13680.0,13580.0,13620.0,4303,31040.0,13630.0
2025-12-31,13630.0,13700.0,13600.0,13675.0,3888,30808.0,13645.0
2026-01-05,13650.0,13720.0,13630.0,13710.0,4629,31163.0,13680.0
